OffenseParentGroup,CrimeAgainstCategory
DRUG/NARCOTIC OFFENSES,SOCIETY
LARCENY-THEFT,PROPERTY
ROBBERY,PROPERTY
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PROPERTY
DRIVING UNDER THE INFLUENCE,SOCIETY
FRAUD OFFENSES,PROPERTY
COUNTERFEITING/FORGERY,PROPERTY
PORNOGRAPHY/OBSCENE MATERIAL,SOCIETY
EXTORTION/BLACKMAIL,PROPERTY
MOTOR VEHICLE THEFT,PROPERTY
STOLEN PROPERTY OFFENSES,PROPERTY
EMBEZZLEMENT,PROPERTY
WEAPON LAW VIOLATIONS,SOCIETY
ARSON,PROPERTY
LIQUOR LAW VIOLATIONS,SOCIETY
BAD CHECKS,PROPERTY
PROSTITUTION OFFENSES,SOCIETY
CURFEW/LOITERING/VAGRANCY VIOLATIONS,SOCIETY
ANIMAL CRUELTY,SOCIETY
DRUNKENNESS,SOCIETY
TRESPASS OF REAL PROPERTY,SOCIETY
ASSAULT OFFENSES,PERSON
BURGLARY/BREAKING&ENTERING,PROPERTY
BRIBERY,PROPERTY